Lat,Lon,TT
83.8131897,-24.7260198,nan
83.8131367,-24.7258758,nan
83.8130836,-24.7257318,nan
83.8130306,-24.7255878,nan
83.8129775,-24.7254439,nan
83.8129244,-24.7253018,nan
83.8128713,-24.7251577,nan
83.8128183,-24.7250157,nan
83.8127652,-24.7248716,nan
83.8127122,-24.7247276,nan
83.8126591,-24.7245836,nan
83.8126061,-24.7244396,nan
83.8125531,-24.7242957,nan
83.8125,-24.7241516,nan
83.812447,-24.7240077,nan
83.8123939,-24.7238636,nan
83.8123409,-24.7237196,nan
83.8122878,-24.7235738,nan
83.8122348,-24.7234279,nan
83.8121817,-24.723282,nan
83.8121287,-24.7231361,nan
83.8120756,-24.7229902,nan
83.8120225,-24.7228426,nan
83.8119694,-24.722693,nan
83.8119164,-24.7225433,nan
83.8118634,-24.7223936,nan
83.8118102,-24.7222439,nan
83.8117578,-24.7220942,nan
83.8116967,-24.7219446,nan
83.8116508,-24.721795,nan
83.8115914,-24.7216434,nan
83.8115372,-24.7214936,nan
83.8114845,-24.7213423,nan
83.8114312,-24.7211907,nan
83.8113788,-24.7210376,nan
83.8113184,-24.7208823,nan
83.8112643,-24.720727,nan
83.8112116,-24.7205715,nan
83.8111584,-24.7204178,nan
83.8111055,-24.720263,nan
83.8110522,-24.7201056,nan
83.8109999,-24.7199517,nan
83.8109398,-24.7197968,nan
83.8108852,-24.7196413,nan
83.8108326,-24.7194859,nan
83.8107794,-24.7193307,nan
83.8107264,-24.7191736,nan
83.8106733,-24.719018,nan
83.8106203,-24.7188613,nan
83.8105672,-24.7187037,nan
83.8105142,-24.718548,nan
83.8104609,-24.7183927,nan
83.8104088,-24.7182373,nan
83.8103492,-24.7180822,nan
83.8102939,-24.7179251,nan
83.8102414,-24.7177694,nan
83.8101882,-24.7176127,nan
83.8101352,-24.717455,nan
83.8100821,-24.7172997,nan
83.8100291,-24.7171412,nan
83.809976,-24.7169847,nan
83.809923,-24.7168283,nan
83.80987,-24.716671,nan
83.8098167,-24.7165125,nan
83.8097647,-24.7163531,nan
83.8097056,-24.7161951,nan
83.8096495,-24.7160382,nan
83.8095972,-24.7158795,nan
83.8095439,-24.7157214,nan
83.809491,-24.7155644,nan
83.8094376,-24.7154069,nan
83.8093856,-24.7152511,nan
83.809327,-24.7150945,nan
83.8092705,-24.7149383,nan
83.8092183,-24.7147829,nan
83.809165,-24.7146288,nan
83.809112,-24.7144743,nan
83.809059,-24.7143188,nan
83.8090058,-24.7141633,nan
83.8089527,-24.714009,nan
83.8088997,-24.7138558,nan
83.8088467,-24.7137021,nan
83.8087936,-24.7135496,nan
83.8087406,-24.7133985,nan
83.8086875,-24.7132454,nan
83.8086345,-24.7130939,nan
83.8085814,-24.7129437,nan
83.8085284,-24.7127917,nan
83.8084753,-24.7126411,nan
83.8084223,-24.7124918,nan
83.8083692,-24.7123409,nan
83.8083162,-24.7121901,nan
83.8082631,-24.7120407,nan
83.8082101,-24.7118908,nan
83.808157,-24.711742,nan
83.8081043,-24.7115946,nan
83.80805,-24.7114457,nan
83.8080018,-24.7112966,nan
83.8079503,-24.7111493,nan
83.8078898,-24.7110005,nan
83.807843,-24.7108513,nan
83.8077904,-24.710704,nan
83.8077343,-24.7105553,nan
83.8076891,-24.7104059,nan
83.8076303,-24.7102594,nan
83.8075756,-24.7101121,nan
83.8075288,-24.7099628,nan
83.8074753,-24.709815,nan
83.8074193,-24.7096682,nan
83.8073604,-24.7095211,nan
83.8073084,-24.7093715,nan
83.8072551,-24.7092242,nan
83.8072021,-24.7090755,nan
83.807149,-24.7089263,nan
83.8070959,-24.7087787,nan
83.8070429,-24.7086315,nan
83.8069898,-24.7084854,nan
83.8069368,-24.7083368,nan
83.8068837,-24.708187,nan
83.8068307,-24.7080372,nan
83.8067775,-24.7078882,nan
83.8067251,-24.7077397,nan
83.8066697,-24.7075875,nan
83.8066101,-24.707437,nan
83.8065581,-24.7072891,nan
83.8065047,-24.7071391,nan
83.8064517,-24.7069896,nan
83.8063987,-24.7068399,nan
83.8063455,-24.7066903,nan
83.8062929,-24.7065402,nan
83.806238,-24.7063884,nan
83.8061782,-24.706237,nan
83.806126,-24.706085,nan
83.8060727,-24.7059316,nan
83.8060196,-24.7057803,nan
83.805967,-24.7056287,nan
83.8059125,-24.7054773,nan
83.8058522,-24.705325,nan
83.8058,-24.7051699,nan
83.8057467,-24.7050185,nan
83.805694,-24.7048645,nan
83.8056398,-24.7047093,nan
83.8055795,-24.704556,nan
83.8055271,-24.7044023,nan
83.8054741,-24.7042468,nan
83.8054202,-24.7040914,nan
83.8053597,-24.7039362,nan
83.8053072,-24.7037829,nan
83.805254,-24.7036292,nan
83.8052012,-24.7034739,nan
83.8051474,-24.7033205,nan
83.805087,-24.7031648,nan
83.8050343,-24.7030077,nan
83.8049811,-24.7028523,nan
83.8049281,-24.7026949,nan
83.8048751,-24.7025378,nan
83.8048217,-24.7023824,nan
83.8047611,-24.702225,nan
83.8047083,-24.7020659,nan
83.8046552,-24.7019105,nan
83.8046022,-24.7017532,nan
83.8045491,-24.701596,nan
83.8044883,-24.7014406,nan
83.8044354,-24.7012815,nan
83.8043823,-24.7011242,nan
83.8043293,-24.700967,nan
83.8042763,-24.7008098,nan
83.8042157,-24.7006487,nan
83.8041625,-24.7004895,nan
83.8041095,-24.7003304,nan
